detected_at,date,type,description
2026-07-08 10:46:55,2026-07-08,Trade,Milwaukee Bucks received draft consideration from Detroit Pistons.
2026-07-08 10:57:55,2026-07-08,Signing,San Antonio Spurs re-signed forward Harrison Barnes to a Contract.
2026-07-08 11:17:55,2026-07-05,Signing,Milwaukee Bucks signed guard Kam Jones to a Two-Way Contract.
2026-07-08 14:08:55,2026-07-08,Waive,Denver Nuggets waived center Jonas Valanciunas.
2026-07-08 14:08:55,2026-07-08,Waive,Indiana Pacers waived center Micah Potter.
2026-07-08 14:49:55,2026-07-08,Trade,Los Angeles Lakers received center Walker Kessler from Utah Jazz.
2026-07-08 14:49:55,2026-07-08,Trade,Utah Jazz received draft consideration from Los Angeles Lakers.
2026-07-08 17:42:55,2026-07-08,Signing,Houston Rockets signed guard Bogdan Bogdanovic to a Contract.
2026-07-08 17:52:55,2026-07-08,Signing,Philadelphia 76ers signed guard Rayan Rupert to a Two-Way Contract.
2026-07-08 17:52:55,2026-07-08,Signing,Memphis Grizzlies signed center Quinten Post to a Contract.
2026-07-08 17:52:55,2026-07-08,Signing,Milwaukee Bucks signed forward Nate Ament to a Rookie Scale Contract.
2026-07-09 09:17:07,2026-07-08,Signing,Cleveland Cavaliers re-signed guard Donovan Mitchell to a Veteran Extension.
2026-07-09 09:17:07,2026-07-08,Signing,Detroit Pistons re-signed guard Javonte Green to a Contract.
2026-07-09 09:17:07,2026-07-08,Signing,Detroit Pistons signed guard Elijah Harkless to a Two-Way Contract.
2026-07-09 09:17:07,2026-07-08,Signing,Milwaukee Bucks signed forward Pete Nance to a Contract.
2026-07-09 13:32:55,2026-07-09,Signing,Indiana Pacers signed forward Larry Nance Jr. to a Contract.
2026-07-09 13:40:55,2026-07-09,Signing,Indiana Pacers re-signed forward Kobe Brown to a Two-Way Contract.
2026-07-09 13:50:55,2026-07-09,Signing,Houston Rockets re-signed forward Tari Eason to a Contract.
2026-07-09 13:59:55,2026-07-09,Signing,Utah Jazz re-signed center Jusuf Nurkic to a Contract.
2026-07-09 14:49:55,2026-07-09,Waive,Boston Celtics waived forward Dalano Banton.
2026-07-09 15:10:55,2026-07-09,Signing,Golden State Warriors re-signed center Charles Bassey to a Contract.
2026-07-09 16:12:55,2026-07-09,Signing,Detroit Pistons re-signed guard Kevin Huerter to a Contract.
2026-07-10 08:17:05,2026-07-09,Signing,LA Clippers signed forward Baba Miller to a Contract.
2026-07-10 08:17:05,2026-07-09,Signing,Milwaukee Bucks re-signed forward Ousmane Dieng to a Contract.
2026-07-10 08:17:05,2026-07-09,Signing,LA Clippers re-signed guard Jordan Miller to a Contract.
2026-07-10 11:44:55,2026-07-09,Signing,Utah Jazz signed center Jaxson Hayes to a Contract.
2026-07-10 11:52:55,2026-07-09,Signing,Utah Jazz signed guard Josh Okogie to a Contract.
2026-07-10 13:10:55,2026-07-10,Signing,Dallas Mavericks signed forward Tarik Biberovic to a Contract.
2026-07-10 13:10:55,2026-07-10,Trade,Chicago Bulls received center Nic Claxton from Brooklyn Nets.
2026-07-10 13:10:55,2026-07-10,Trade,Minnesota Timberwolves received guard Josh Green from Charlotte Hornets.
2026-07-10 13:10:55,2026-07-10,Trade,Minnesota Timberwolves received guard LaMelo Ball from Charlotte Hornets.
2026-07-10 13:10:55,2026-07-10,Trade,Brooklyn Nets received forward Julius Randle from Minnesota Timberwolves.
2026-07-10 13:10:55,2026-07-10,Trade,Charlotte Hornets received forward Mouhamadou Gueye from Chicago Bulls.
2026-07-10 13:10:55,2026-07-10,Trade,Charlotte Hornets received center Naz Reid from Minnesota Timberwolves.
2026-07-10 13:10:55,2026-07-10,Trade,Charlotte Hornets received draft consideration from Minnesota Timberwolves.
2026-07-10 13:22:55,2026-07-10,Signing,Utah Jazz signed center Mo Bamba to a Contract.
2026-07-10 13:41:55,2026-07-10,Signing,New York Knicks re-signed guard Jordan Clarkson to a Contract.
2026-07-10 13:41:55,2026-07-10,Signing,Houston Rockets signed guard Marcus Smart to a Contract.
2026-07-10 13:52:55,2026-07-10,Signing,Minnesota Timberwolves re-signed guard Ayo Dosunmu to a Contract.
2026-07-10 14:20:55,2026-07-10,Signing,Minnesota Timberwolves re-signed guard Jaylen Clark to a Contract.
2026-07-10 14:20:55,2026-07-10,Signing,Brooklyn Nets signed forward Joshua Jefferson to a Rookie Scale Contract.
2026-07-10 14:35:55,2026-07-10,AwardOnWaivers,Portland Trail Blazers claimed center Micah Potter off waivers.
2026-07-10 14:35:55,2026-07-10,Signing,Denver Nuggets signed forward Trevon Brazile to a Contract.
2026-07-10 14:35:55,2026-07-10,Waive,Brooklyn Nets waived guard Malachi Smith.
2026-07-10 18:25:55,2026-07-10,Signing,Atlanta Hawks re-signed center Jock Landale to a Contract.
2026-07-10 18:25:55,2026-07-10,Signing,San Antonio Spurs re-signed forward Victor Wembanyama to a Rookie Scale Extension.
2026-07-10 18:25:55,2026-07-10,Signing,Chicago Bulls signed guard Norman Powell to a Contract.
2026-07-11 09:33:42,2026-07-10,Signing,New Orleans Pelicans re-signed center DeAndre Jordan to a Contract.
2026-07-11 09:33:42,2026-07-10,Signing,Minnesota Timberwolves signed forward Trey Lyles to a Contract.
2026-07-11 18:03:55,2026-07-11,Signing,Minnesota Timberwolves signed forward Isaiah Evans to a Contract.
2026-07-12 12:03:55,2026-07-11,Signing,Los Angeles Lakers signed guard Collin Sexton to a Contract.
2026-07-12 12:15:55,2026-07-12,Signing,Los Angeles Lakers re-signed guard Austin Reaves to a Contract.
2026-07-13 09:13:55,2026-07-12,Signing,Los Angeles Lakers signed forward Kevon Looney to a Contract.
2026-07-13 14:56:55,2026-07-13,Trade,Phoenix Suns received forward Miles Bridges from Charlotte Hornets.
2026-07-13 14:56:55,2026-07-13,Trade,Phoenix Suns received draft consideration from Charlotte Hornets.
2026-07-13 14:56:55,2026-07-13,Trade,Charlotte Hornets received guard Grayson Allen from Phoenix Suns.
2026-07-13 14:56:55,2026-07-13,Trade,Charlotte Hornets received forward Royce O'Neale from Phoenix Suns.
2026-07-13 14:56:55,2026-07-13,Trade,Charlotte Hornets received draft consideration from Phoenix Suns.
2026-07-13 18:20:55,2026-07-13,Signing,Memphis Grizzlies signed forward Cameron Boozer to a Rookie Scale Contract.
2026-07-13 18:28:55,2026-07-13,Signing,San Antonio Spurs re-signed guard Jordan McLaughlin to a Contract.
2026-07-14 12:15:55,2026-07-14,Signing,Phoenix Suns signed guard Luke Kennard to a Contract.
2026-07-14 16:26:55,2026-07-14,Signing,Denver Nuggets re-signed guard Tyus Jones to a Contract.
2026-07-15 17:21:58,2026-07-15,Signing,Denver Nuggets signed  Alpha Diallo to a Contract.
2026-07-15 17:30:01,2026-07-15,Signing,Denver Nuggets signed forward Marvin Bagley III to a Contract.
2026-07-16 07:47:42,2026-07-13,Signing,Denver Nuggets signed  Alpha Diallo to a Contract.
2026-07-16 09:46:55,2026-07-15,Signing,Milwaukee Bucks re-signed guard Gary Trent Jr. to a Contract.
2026-07-16 12:27:42,2026-07-16,Signing,Miami Heat re-signed center Vladislav Goldin to a Two-Way Contract.
2026-07-19 14:44:55,2026-07-19,Trade,Atlanta Hawks received guard Ryan Nembhard from Dallas Mavericks.
2026-07-19 14:44:55,2026-07-19,Trade,Atlanta Hawks received guard Luguentz Dort from Oklahoma City Thunder.
2026-07-19 14:44:55,2026-07-19,Trade,Dallas Mavericks received forward Zaccharie Risacher from Atlanta Hawks.
2026-07-19 14:44:55,2026-07-19,Trade,Dallas Mavericks received draft consideration from Atlanta Hawks.
2026-07-19 14:44:55,2026-07-19,Trade,Oklahoma City Thunder received draft consideration from Atlanta Hawks.
2026-07-19 14:44:55,2026-07-19,Trade,Oklahoma City Thunder received draft consideration from Dallas Mavericks.
2026-07-19 17:26:56,2026-07-19,Signing,Los Angeles Lakers signed forward Ziaire Williams to a Contract.
